"No.","Time","Source","Destination","Protocol","Length","Info"
"6571","50.323899","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=524723 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6572","50.323899","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=526051 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6573","50.323899","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=527379 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6574","50.324035","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=526051 Win=2560 Len=0 TSval=280106997 TSecr=3421644957"
"6575","50.324083","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=528707 Win=2560 Len=0 TSval=280106998 TSecr=3421644957"
"6576","50.370615","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=528707 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6577","50.370615","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=530035 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6578","50.370615","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=531363 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6579","50.370817","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=532691 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6580","50.370823","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=531363 Win=2560 Len=0 TSval=280107044 TSecr=3421644957"
"6581","50.370875","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=534019 Win=2560 Len=0 TSval=280107044 TSecr=3421644957"
"6582","50.422096","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=534019 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6583","50.422096","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=535347 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6584","50.422096","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=536675 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6585","50.422096","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=538003 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6586","50.422243","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=536675 Win=2560 Len=0 TSval=280107096 TSecr=3421644957"
"6587","50.422304","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=539331 Win=2560 Len=0 TSval=280107096 TSecr=3421644957"
"6588","50.469954","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=539331 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6589","50.469954","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=540659 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6590","50.469954","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=541987 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6591","50.470191","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=541987 Win=2560 Len=0 TSval=280107144 TSecr=3421644957"
"6592","50.509933","192.168.43.144","8.253.198.120","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 57287  >  80 [SYN] Seq=0 Win=65160 Len=0 MSS=1460 WS=256 SACK_PERM TSval=280107183 TSecr=0"
"6593","50.517451","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=543315 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6594","50.517451","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=544643 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6595","50.517451","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=545971 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6596","50.517565","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=544643 Win=2560 Len=0 TSval=280107191 TSecr=3421644957"
"6597","50.517604","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=547299 Win=2560 Len=0 TSval=280107191 TSecr=3421644957"
"6598","50.524959","192.168.43.144","151.5.25.100","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 57288  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"6599","50.563377","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=547299 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6600","50.563377","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=548627 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6601","50.563377","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=549955 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6602","50.563502","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=549955 Win=2560 Len=0 TSval=280107237 TSecr=3421644957"
